bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
0,GC-12-47-1_meter_1,A,280.2458143,274.6963922,0.779267611,-1.22519163
1,GC-12-47-1_meter_1,B,-137.5393442,-140.3179168,-236.769079,-243.5724947
2,GC-12-47-1_meter_1,C,-137.157048,-139.9278974,243.7976863,236.9898114
3,GC-12-47-1_meter_2,A,280.2458143,274.6963922,0.779267611,-1.22519163
4,GC-12-47-1_meter_2,B,-137.5393442,-140.3179168,-236.769079,-243.5724947
5,GC-12-47-1_meter_2,C,-137.157048,-139.9278974,243.7976863,236.9898114
6,GC-12-47-1_meter_3,A,280.2458143,274.6963922,0.779267611,-1.22519163
7,GC-12-47-1_meter_3,B,-137.5393442,-140.3179168,-236.769079,-243.5724947
8,GC-12-47-1_meter_3,C,-137.157048,-139.9278974,243.7976863,236.9898114
9,GC-12-47-1_meter_4,A,7271.999993,7127.999993,0.991740297,-1.008426566
10,GC-12-47-1_meter_4,B,-3564.007149,-3636.007294,-6171.645864,-6298.345781
11,GC-12-47-1_meter_4,C,-3563.992844,-3635.992699,6298.354207,6171.654124
12,GC-12-47-1_node_1,A,7273.800793,7129.765134,-0.240396548,-2.265455065
13,GC-12-47-1_node_1,B,-3565.956716,-3637.996246,-6172.558359,-6299.276709
14,GC-12-47-1_node_1,C,-3563.808418,-3635.804548,6300.542164,6173.798755
15,GC-12-47-1_node_2,A,7275.086502,7131.025383,-1.120099592,-3.162929886
16,GC-12-47-1_node_2,B,-3567.348639,-3639.416288,-6173.209848,-6299.94136
17,GC-12-47-1_node_2,C,-3563.676744,-3635.670214,6302.10429,6175.329948
18,GC-12-47-1_node_3,A,7275.828523,7131.752711,-1.627802486,-3.680889405
19,GC-12-47-1_node_3,B,-3568.151959,-3640.235837,-6173.585842,-6300.32495
20,GC-12-47-1_node_3,C,-3563.600751,-3635.592686,6303.005839,6176.213645
21,GC-12-47-1_node_4,A,7276.269646,7132.185099,-1.803897136,-3.860541523
22,GC-12-47-1_node_4,B,-3568.520646,-3640.611973,-6173.872231,-6300.617124
23,GC-12-47-1_node_4,C,-3563.664452,-3635.657674,6303.477666,6176.676128
24,GC-12-47-1_node_5,A,7277.766396,7133.65221,-2.827997811,-4.9053311
25,GC-12-47-1_node_5,B,-3570.141045,-3642.265106,-6174.630658,-6301.390873
26,GC-12-47-1_node_5,C,-3563.511165,-3635.50129,6305.296204,6178.458656
27,GC-12-47-1_node_6,A,7278.903093,7134.766398,-3.605744125,-5.698789461
28,GC-12-47-1_node_6,B,-3571.371645,-3643.520567,-6175.20664,-6301.978492
29,GC-12-47-1_node_6,C,-3563.394752,-3635.382525,6306.677281,6179.812384
30,GC-12-47-1_node_7,A,7280.552716,7136.383355,-4.734443533,-6.850290877
31,GC-12-47-1_node_7,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
32,GC-12-47-1_node_7,C,-3563.225809,-3635.210169,6308.68156,6181.776975
33,GC-12-47-1_node_8,A,7280.552716,7136.383355,-4.734443533,-6.850290877
34,GC-12-47-1_node_8,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
35,GC-12-47-1_node_8,C,-3563.225809,-3635.210169,6308.68156,6181.776975
36,GC-12-47-1_node_9,A,7280.552716,7136.383355,-4.734443533,-6.850290877
37,GC-12-47-1_node_9,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
38,GC-12-47-1_node_9,C,-3563.225809,-3635.210169,6308.68156,6181.776975
39,GC-12-47-1_node_10,A,7280.552716,7136.383355,-4.734443533,-6.850290877
40,GC-12-47-1_node_10,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
41,GC-12-47-1_node_10,C,-3563.225809,-3635.210169,6308.68156,6181.776975
42,GC-12-47-1_node_11,A,7280.552716,7136.383355,-4.734443533,-6.850290877
43,GC-12-47-1_node_11,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
44,GC-12-47-1_node_11,C,-3563.225809,-3635.210169,6308.68156,6181.776975
45,GC-12-47-1_node_12,A,7280.552716,7136.383355,-4.734443533,-6.850290877
46,GC-12-47-1_node_12,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
47,GC-12-47-1_node_12,C,-3563.225809,-3635.210169,6308.68156,6181.776975
48,GC-12-47-1_node_13,A,7280.552716,7136.383355,-4.734443533,-6.850290877
49,GC-12-47-1_node_13,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
50,GC-12-47-1_node_13,C,-3563.225809,-3635.210169,6308.68156,6181.776975
51,GC-12-47-1_node_14,A,7280.552716,7136.383355,-4.734443533,-6.850290877
52,GC-12-47-1_node_14,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
53,GC-12-47-1_node_14,C,-3563.225809,-3635.210169,6308.68156,6181.776975
54,GC-12-47-1_node_15,A,7280.552716,7136.383355,-4.734443533,-6.850290877
55,GC-12-47-1_node_15,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
56,GC-12-47-1_node_15,C,-3563.225809,-3635.210169,6308.68156,6181.776975
57,GC-12-47-1_node_16,A,7280.552716,7136.383355,-4.734443533,-6.850290877
58,GC-12-47-1_node_16,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
59,GC-12-47-1_node_16,C,-3563.225809,-3635.210169,6308.68156,6181.776975
60,GC-12-47-1_node_17,A,7280.552716,7136.383355,-4.734443533,-6.850290877
61,GC-12-47-1_node_17,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
62,GC-12-47-1_node_17,C,-3563.225809,-3635.210169,6308.68156,6181.776975
63,GC-12-47-1_node_18,A,7280.552716,7136.383355,-4.734443533,-6.850290877
64,GC-12-47-1_node_18,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
65,GC-12-47-1_node_18,C,-3563.225809,-3635.210169,6308.68156,6181.776975
66,GC-12-47-1_node_19,A,7280.552716,7136.383355,-4.734443533,-6.850290877
67,GC-12-47-1_node_19,B,-3573.157546,-3645.342547,-6176.042531,-6302.831269
68,GC-12-47-1_node_19,C,-3563.225809,-3635.210169,6308.68156,6181.776975
69,GC-12-47-1_node_20,A,7280.552716,7136.383355,-4.734443533,-6.850290877
