bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
0,R4-25-00-1_meter_1,A,279.8993773,274.3568154,1,-1
1,R4-25-00-1_meter_1,C,-137.1784077,-139.9496887,243.4,236.6
2,R4-25-00-1_meter_2,A,14519.7802,14232.2598,1,-1
3,R4-25-00-1_meter_2,B,-7116.1299,-7259.8901,-12324.5,-12575.5
4,R4-25-00-1_meter_2,C,-7116.1299,-7259.8901,12575.5,12324.5
5,R4-25-00-1_node_1,C,-7116.1299,-7259.8901,12575.5,12324.5
6,R4-25-00-1_node_2,A,14519.7802,14232.2598,1,-1
7,R4-25-00-1_node_2,B,-7116.1299,-7259.8901,-12324.5,-12575.5
8,R4-25-00-1_node_2,C,-7116.1299,-7259.8901,12575.5,12324.5
9,R4-25-00-1_node_3,A,14519.7802,14232.2598,1,-1
10,R4-25-00-1_node_3,B,-7116.1299,-7259.8901,-12324.5,-12575.5
11,R4-25-00-1_node_3,C,-7116.1299,-7259.8901,12575.5,12324.5
12,R4-25-00-1_node_4,B,-7116.1299,-7259.8901,-12324.5,-12575.5
13,R4-25-00-1_node_5,B,-7116.1299,-7259.8901,-12324.5,-12575.5
14,R4-25-00-1_node_6,B,-7116.1299,-7259.8901,-12324.5,-12575.5
15,R4-25-00-1_node_7,B,-7116.1299,-7259.8901,-12324.5,-12575.5
16,R4-25-00-1_node_8,B,-7116.1299,-7259.8901,-12324.5,-12575.5
17,R4-25-00-1_node_9,B,-7116.1299,-7259.8901,-12324.5,-12575.5
18,R4-25-00-1_node_10,B,-7116.1299,-7259.8901,-12324.5,-12575.5
19,R4-25-00-1_node_11,A,14519.7802,14232.2598,1,-1
20,R4-25-00-1_node_11,B,-7116.1299,-7259.8901,-12324.5,-12575.5
21,R4-25-00-1_node_11,C,-7116.1299,-7259.8901,12575.5,12324.5
22,R4-25-00-1_node_12,A,14519.7802,14232.2598,1,-1
23,R4-25-00-1_node_12,B,-7116.1299,-7259.8901,-12324.5,-12575.5
24,R4-25-00-1_node_12,C,-7116.1299,-7259.8901,12575.5,12324.5
25,R4-25-00-1_node_13,A,14519.7802,14232.2598,1,-1
26,R4-25-00-1_node_13,B,-7116.1299,-7259.8901,-12324.5,-12575.5
27,R4-25-00-1_node_13,C,-7116.1299,-7259.8901,12575.5,12324.5
28,R4-25-00-1_node_14,C,-7116.1299,-7259.8901,12575.5,12324.5
29,R4-25-00-1_node_15,A,14519.7802,14232.2598,1,-1
30,R4-25-00-1_node_15,B,-7116.1299,-7259.8901,-12324.5,-12575.5
31,R4-25-00-1_node_15,C,-7116.1299,-7259.8901,12575.5,12324.5
32,R4-25-00-1_node_16,C,-7116.1299,-7259.8901,12575.5,12324.5
33,R4-25-00-1_node_17,A,14519.7802,14232.2598,1,-1
34,R4-25-00-1_node_17,B,-7116.1299,-7259.8901,-12324.5,-12575.5
35,R4-25-00-1_node_17,C,-7116.1299,-7259.8901,12575.5,12324.5
36,R4-25-00-1_node_18,A,14519.7802,14232.2598,1,-1
37,R4-25-00-1_node_18,B,-7116.1299,-7259.8901,-12324.5,-12575.5
38,R4-25-00-1_node_18,C,-7116.1299,-7259.8901,12575.5,12324.5
39,R4-25-00-1_node_19,A,14519.7802,14232.2598,1,-1
40,R4-25-00-1_node_19,B,-7116.1299,-7259.8901,-12324.5,-12575.5
41,R4-25-00-1_node_19,C,-7116.1299,-7259.8901,12575.5,12324.5
42,R4-25-00-1_node_20,A,14519.7802,14232.2598,1,-1
43,R4-25-00-1_node_20,B,-7116.1299,-7259.8901,-12324.5,-12575.5
44,R4-25-00-1_node_20,C,-7116.1299,-7259.8901,12575.5,12324.5
45,R4-25-00-1_node_21,B,-7116.1299,-7259.8901,-12324.5,-12575.5
46,R4-25-00-1_node_22,A,14519.7802,14232.2598,1,-1
47,R4-25-00-1_node_22,B,-7116.1299,-7259.8901,-12324.5,-12575.5
48,R4-25-00-1_node_22,C,-7116.1299,-7259.8901,12575.5,12324.5
49,R4-25-00-1_node_23,A,14519.7802,14232.2598,1,-1
50,R4-25-00-1_node_23,B,-7116.1299,-7259.8901,-12324.5,-12575.5
51,R4-25-00-1_node_23,C,-7116.1299,-7259.8901,12575.5,12324.5
52,R4-25-00-1_node_24,A,14519.7802,14232.2598,1,-1
53,R4-25-00-1_node_24,B,-7116.1299,-7259.8901,-12324.5,-12575.5
54,R4-25-00-1_node_24,C,-7116.1299,-7259.8901,12575.5,12324.5
55,R4-25-00-1_node_25,C,-7116.1299,-7259.8901,12575.5,12324.5
56,R4-25-00-1_node_26,A,14519.7802,14232.2598,1,-1
57,R4-25-00-1_node_26,B,-7116.1299,-7259.8901,-12324.5,-12575.5
58,R4-25-00-1_node_26,C,-7116.1299,-7259.8901,12575.5,12324.5
59,R4-25-00-1_node_27,C,-7116.1299,-7259.8901,12575.5,12324.5
60,R4-25-00-1_node_28,C,-7116.1299,-7259.8901,12575.5,12324.5
61,R4-25-00-1_node_29,A,14519.7802,14232.2598,1,-1
62,R4-25-00-1_node_30,A,14519.7802,14232.2598,1,-1
63,R4-25-00-1_node_30,B,-7116.1299,-7259.8901,-12324.5,-12575.5
64,R4-25-00-1_node_30,C,-7116.1299,-7259.8901,12575.5,12324.5
65,R4-25-00-1_node_31,A,14519.7802,14232.2598,1,-1
66,R4-25-00-1_node_32,A,14519.7802,14232.2598,1,-1
67,R4-25-00-1_node_32,B,-7116.1299,-7259.8901,-12324.5,-12575.5
68,R4-25-00-1_node_32,C,-7116.1299,-7259.8901,12575.5,12324.5
69,R4-25-00-1_node_33,C,-7116.1299,-7259.8901,12575.5,12324.5
70,R4-25-00-1_node_34,C,-7116.1299,-7259.8901,12575.5,12324.5
71,R4-25-00-1_node_35,C,-7116.1299,-7259.8901,12575.5,12324.5
72,R4-25-00-1_node_36,C,-7116.1299,-7259.8901,12575.5,12324.5
73,R4-25-00-1_node_37,C,-7116.1299,-7259.8901,12575.5,12324.5
74,R4-25-00-1_node_38,C,-7116.1299,-7259.8901,12575.5,12324.5
75,R4-25-00-1_node_39,C,-7116.1299,-7259.8901,12575.5,12324.5
76,R4-25-00-1_node_40,C,-7116.1299,-7259.8901,12575.5,12324.5
77,R4-25-00-1_node_41,C,-7116.1299,-7259.8901,12575.5,12324.5
78,R4-25-00-1_node_42,C,-7116.1299,-7259.8901,12575.5,12324.5
79,R4-25-00-1_node_43,C,-7116.1299,-7259.8901,12575.5,12324.5
80,R4-25-00-1_node_44,C,-7116.1299,-7259.8901,12575.5,12324.5
81,R4-25-00-1_node_45,C,-7116.1299,-7259.8901,12575.5,12324.5
82,R4-25-00-1_node_46,C,-7116.1299,-7259.8901,12575.5,12324.5
83,R4-25-00-1_node_47,C,-7116.1299,-7259.8901,12575.5,12324.5
84,R4-25-00-1_node_48,C,-7116.1299,-7259.8901,12575.5,12324.5
85,R4-25-00-1_node_49,C,-7116.1299,-7259.8901,12575.5,12324.5
86,R4-25-00-1_node_50,C,-7116.1299,-7259.8901,12575.5,12324.5
87,R4-25-00-1_node_51,C,-7116.1299,-7259.8901,12575.5,12324.5
88,R4-25-00-1_node_52,C,-7116.1299,-7259.8901,12575.5,12324.5
89,R4-25-00-1_node_53,C,-7116.1299,-7259.8901,12575.5,12324.5
